,OM DATA PARSING MAP,,,,,
,Map incoming Offering Memorandum data to underwriting model cells,,,,,
,,,,,,
,INSTRUCTIONS,,,,,
,1. Paste OM data in Column C (Source Value),,,,,
,2. Values automatically map to the Model sheet via formulas,,,,,
,"3. Yellow cells = required inputs, Gray cells = optional",,,,,
,,,,,,
,OM Field Name,Source Value (Paste Here),Data Type,Maps To Cell,Model Section,Notes
,,,,,,
,PROPERTY INFORMATION,,,,,
,Property Name,,Text,Model!D6,Key Metrics,
,Property Address,,Text,Model!D7 (note),Key Metrics,Store in note or separate field
,Total Units,,Number,Model!D7,Key Metrics,Required
,Total Square Feet,,Number,Model!D8,Key Metrics,Building SF
,Year Built,,Number,Model!D22,Assumptions,
,Lot Size (Acres),,Number,-,Reference,Not mapped - for reference
,Zoning,,Text,-,Reference,Not mapped - for reference
,Parking Spaces,,Number,-,Reference,
,,,,,,
,ACQUISITION / PRICING,,,,,
,Asking Price,,Currency,Model!D9,Key Metrics,Purchase Price input
,Price Per Unit,,Currency,-,Calculated,Auto-calculated from Price/Units
,Price Per SF,,Currency,-,Calculated,Auto-calculated
,Current Cap Rate,,Percent,-,Reference,Seller's stated cap
,Pro Forma Cap Rate,,Percent,-,Reference,Seller's pro forma
,Closing Costs,,Currency,Model!D23,Assumptions,Estimate if not provided
,Due Diligence Budget,,Currency,Model!D24,Assumptions,
,CapEx Budget,,Currency,Model!D25,Assumptions,Renovation/deferred maint
,,,,,,
,INCOME (T-12 or Pro Forma),,,,,
,Gross Potential Rent (Annual),,Currency,Model!D63,Revenue,GPR from OM
,Vacancy Loss %,,Percent,Model!H22,Assumptions,Economic vacancy rate
,Loss to Lease (Annual),,Currency,Model!D65,Revenue,Below-market leases
,Concessions (Annual),,Currency,-,Reference,Use % in Model!H24
,Bad Debt %,,Percent,Model!H23,Assumptions,
,Laundry Income,,Currency,Model!C71,Revenue,$/unit/month
,Parking Income,,Currency,Model!C72,Revenue,$/unit/month
,Pet Income,,Currency,Model!C73,Revenue,$/unit/month
,Other Income,,Currency,Model!C74-C76,Revenue,Split across line items
,RUBS/Utility Reimbursement,,Currency,Model!C81-C84,Revenue,If tenant-paid utilities
,,,,,,
,OPERATING EXPENSES (T-12 or Pro Forma),,,,,
,Real Estate Taxes,,Currency,Model!C93,Expenses,Annual or $/unit/mo
,Property Insurance,,Currency,Model!C94,Expenses,Annual or $/unit/mo
,Water/Sewer,,Currency,Model!C95,Expenses,If owner-paid
,Electric (Common Area),,Currency,Model!C96,Expenses,
,Gas,,Currency,Model!C97,Expenses,If owner-paid
,Trash Removal,,Currency,Model!C98,Expenses,If owner-paid
,Repairs & Maintenance,,Currency,Model!C99,Expenses,
,Landscaping,,Currency,Model!C100,Expenses,
,Pest Control,,Currency,Model!C101,Expenses,
,Snow Removal,,Currency,Model!C102,Expenses,If applicable
,Unit Turnover/Make Ready,,Currency,Model!C103,Expenses,
,Management Fee %,,Percent,Model!H25,Assumptions,% of EGI
,On-Site Payroll,,Currency,Model!C105,Expenses,If applicable
,Marketing/Advertising,,Currency,Model!C106,Expenses,
,Legal & Professional,,Currency,Model!C107,Expenses,
,Accounting,,Currency,Model!C108,Expenses,
,Administrative/G&A,,Currency,Model!C109,Expenses,
,Security,,Currency,Model!C110,Expenses,
,Cable/Internet,,Currency,Model!C111,Expenses,
,Total Operating Expenses,,Currency,-,Calculated,Sum of above - verify
,NOI (from OM),,Currency,-,Reference,Compare to model output
,,,,,,
,RENT ROLL DATA,,,,,
,Unit Numbers,,Text,Model!B33:B56,Rent Roll,List of unit IDs
,"Unit Types (1BR, 2BR, etc)",,Text,Model!C33:C56,Rent Roll,Bedroom/bath config
,Unit Square Feet,,Number,Model!D33:D56,Rent Roll,Per unit
,Unit Status,,Text,Model!E33:E56,Rent Roll,Renovated/Classic/Vacant
,Market Rent,,Currency,Model!F33:F56,Rent Roll,Current market rate
,In-Place Rent,,Currency,Model!G33:G56,Rent Roll,Actual rent collected
,Lease Start Date,,Date,Model!I33:I56,Rent Roll,
,Lease End Date,,Date,Model!J33:J56,Rent Roll,
,Tenant Name,,Text,Model!K33:K56,Rent Roll,Or 'Vacant'
,,,,,,
,EXISTING FINANCING (for Subject-To),,,,,
,Existing Loan Balance,,Currency,Model!D127,Financing,If assuming existing debt
,Existing Loan Rate,,Percent,Model!D128,Financing,Current interest rate
,Remaining Term (Months),,Number,Model!D129,Financing,Months remaining
,Monthly P&I Payment,,Currency,-,Calculated,Verify against model
,Loan Maturity Date,,Date,-,Reference,Calculate from term
,Prepayment Penalty,,Text,-,Reference,Note any restrictions
,Assumable (Y/N),,Text,-,Reference,Key for subject-to
,,,,,,
,GROWTH ASSUMPTIONS (Your Inputs),,,,,
,Annual Rent Growth %,,Percent,Model!H20,Assumptions,Market rent escalation
,Annual Expense Growth %,,Percent,Model!H21,Assumptions,Inflation factor
,Exit Cap Rate (5-Year),,Percent,Model!H26,Assumptions,For reversion calc
,Exit Cap Rate (10-Year),,Percent,Model!H27,Assumptions,For reversion calc
,Selling Costs %,,Percent,Model!L20,Assumptions,"Broker fees, transfer tax"
,CapEx Reserve $/Unit/Year,,Currency,Model!L21,Assumptions,Ongoing reserves
,,,,,,
,,,,,,
,QUICK REFERENCE - KEY MODEL CELLS,,,,,
,Output,Cell,Output,Cell,,
,Purchase Price,Model!D9,Total Units,Model!D7,,
,Year 1 NOI,Model!E117,Year 1 EGI,Model!E87,,
,Going-In Cap Rate,Model!D13,Stabilized Cap Rate,Model!D14,,
,Total Debt,Model!D164,Required Equity,Model!D197,,
,Project IRR (5-Yr),Model!O230,Project IRR (10-Yr),Model!P230,,
,LP IRR (5-Yr),Model!O231,LP IRR (10-Yr),Model!P231,,
,RUBS Toggle,Model!D80,"1=Tenant, 0=Owner",-,,
,,,,,,
,,,,,,
,LEGEND,,,,,
,Yellow cells,Required inputs,,,,
,Gray cells,Optional inputs,,,,
,Green cells,Your assumptions (not from OM),,,,
,Blue text,Cell references in Model sheet,,,,